id,fraude,nome,sobrenome,email,cpf,telefone,rua,bairro,cidade,estado,cep,data_de_nascimento,produto,restringido,bloqueado,user_agent,imei,ip,busca_email_nome,busca_email_sobrenome,busca_email_ip,busca_email_telefone,busca_email_endereco,busca_ip_telefone,busca_ip_nome,busca_telefone_nome
0,False,Vitor,Peixoto,vitor.peixoto@globo.com,21475683090,,4ª Travessa do Guarani,Bairro dos Estados,Camaragibe,PE,54762024,1992-02-17,Globoplay + canais ao vivo e Disney +,False,False,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.0; Trident/5.0),557194759382441,218.144.249.195,78,42,50,85,73,52,68,97
1,False,Gabrielly,Rocha,gabrielly.rocha@silveira.org,,5511980160975,,,,,,1994-07-25,Globoplay + canais ao vivo e Telecine,False,False,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 4.0; Trident/5.0),551198016097581,84.123.198.72,78,56,90,64,59,40,41,52
2,False,Gabriela,Melo,gabriela.melo@bol.com,94706185211,,,,,,,2007-12-29,Globoplay + canais ao vivo e Disney +,False,False,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/532.14.6 (KHTML, like Gecko) Version/5.0.5 Safari/532.14.6",557195934232062,197.144.175.233,46,57,41,85,78,73,68,78
3,False,Arthur,Fogaça,arthur.fogaa@gmail.com,91075864348,,"Rua Marechal Floriano Peixoto, 2521 ",Centro,Rosário do Sul,RS,97590970,1962-06-23,Globo Mais,False,True,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/3844-07-21 08:08:41 Firefox/3.6.2,556196012309823,161.219.83.51,81,44,40,85,62,57,44,42
4,False,Rodrigo,Souza,rodrigo.souza@outlook.com,42035786983,,,,,,,2011-11-12,,False,False,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; mhr-RU) AppleWebKit/533.44.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B114 Safari/6533.44.3",553190769845645,215.175.37.244,88,57,82,86,53,99,86,96
5,True,Ana Lívia,Nascimento,combate.nascimento@azevedo.br,28475619002,,,,,,,2009-05-16,Combate,False,True,Opera/8.96.(X11; Linux x86_64; kn-IN) Presto/2.9.166 Version/10.00,552190088887691,133.87.134.44,32,11,43,39,52,38,57,11
6,True,Emanuelly,Castro,castro@yahoo.com,42501863933,5531917610471,,,Paraíso Garcia (Santa Rita do Ibitipoca),MG  - Distrito,36236000,1984-12-19,,False,False,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_0 rv:3.0; lzh-TW) AppleWebKit/534.46.6 (KHTML, like Gecko) Version/5.0.4 Safari/534.46.6",553191761047115,52.36.66.247,25,17,39,41,25,56,12,50
7,False,Melissa,Carvalho,melissa.carvalho@outlook.com,41758029323,,,,,,,1980-05-12,Globoplay e Premiere,False,False,"Mozilla/5.0 (Linux; Android 2.0.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/17.0.810.0 Safari/535.1",555192294568229,149.6.123.191,93,86,50,54,79,88,80,40
8,False,Anthony,Castro,anthony.castro@yahoo.com,,,Rua Eixo D,Novo Horizonte,Camaçari,BA,42801310,1968-02-03,,False,False,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.1; Trident/3.0),558197936153493,214.116.58.56,76,47,48,93,89,57,41,78
9,False,Laís,da Conceição,las.daconceio@bol.com,,,,,,,,1960-08-29,Starzplay,False,False,Mozilla/5.0 (compatible; MSIE 7.0; Windows 95; Trident/5.0),556198219729654,205.192.12.28,49,46,72,80,69,56,44,79
10,False,Luiz Gustavo,da Costa,dacosta@bol.com,07561834217,,Rua Rubem Antônio da Silva,Partenon,Porto Alegre,RS,91530210,2006-03-05,Globoplay,False,False,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/531.48.4 (KHTML, like Gecko) Version/4.0.3 Safari/531.48.4",552191801320440,204.185.165.19,90,73,95,89,50,87,42,63
11,False,Catarina,Ferreira,catarina.ferreira@globo.com,76234018904,5571902234500,Estrada Marcelo A. de J. Pinto,Chácaras das Colinas,Franco da Rocha,SP,07811020,1991-03-24,Globoplay + canais ao vivo e Disney +,False,False,Opera/8.90.(X11; Linux i686; apn-IN) Presto/2.9.179 Version/12.00,557190223450061,56.191.106.21,45,96,74,45,74,51,72,60
12,True,Pedro,Cavalcanti,dcorreia@example.net,18307526930,5581995194264,Rua Sussumo Yoshimoto,Jardim dos Ipês,Cotia,SP,06716150,1963-01-14,Globoplay + canais ao vivo e Disney +,False,False,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.2; Trident/5.0),556190654602884,161.52.151.71,17,44,2,12,47,27,19,37
13,False,Lorenzo,Carvalho,lorenzo.carvalho@bol.com,,,Travessa Hosana,Parque Mambucaba (Mambucaba),Angra dos Reis,RJ,23954325,2009-03-02,Globoplay e Disney +,False,False,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Trident/4.0),552192696116109,126.166.36.191,62,71,72,68,41,81,66,98
14,False,Ryan,Monteiro,monteiro@yahoo.com,93218056721,,Rua Jutairana,Cidade Líder,São Paulo,SP,03587090,1984-08-25,Deezer Premium,False,False,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.2; Trident/5.1),553193031045069,77.81.215.23,81,72,50,48,87,98,83,97
15,True,João Lucas,Cardoso,vitor-gabrielda-conceicao@example.org,53941807250,5541958332456,Rua Maceió,Parque das Nações,Aparecida de Goiânia,GO,74957360,2000-03-22,Premiere,False,False,Mozilla/5.0 (compatible; MSIE 5.0; Windows CE; Trident/4.1),554195833245622,216.137.108.223,23,38,41,41,7,22,56,39
16,True,Luiza,Souza,cmartins@example.org,61582794391,5561947121418,Rua Mogeiro,Brasília Teimosa,Recife,PE,51010310,1984-03-07,discovery +,False,False,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/32.0.814.0 Safari/534.0",556194712141844,137.31.211.101,47,38,5,36,39,41,38,2
17,False,Marcelo,Barbosa,marcelo.barbosa@outlook.com,14872096576,5581914543910,Rua do Sítio,Cassange,Salvador,BA,41505520,1995-05-17,discovery +,False,False,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; iw-IL) AppleWebKit/532.35.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B113 Safari/6532.35.1",558191454391031,164.134.34.166,82,87,53,66,72,91,46,69
18,False,Maria Clara,Jesus,mariaclara.jesus@yahoo.com,27041895360,5541977857074,,,,,,2006-09-28,,False,False,Opera/9.91.(Windows NT 5.0; az-AZ) Presto/2.9.179 Version/10.00,554197785707427,18.32.106.16,60,59,72,76,64,46,64,50
19,False,Mariana,Gonçalves,mariana.gonalves@yahoo.com,72516934882,5571975625662,Avenida Perimetral Deputado Guaracy Marinho,Lucas Araújo,Passo Fundo,RS,99074800,2009-08-29,,False,False,Opera/8.39.(X11; Linux i686; szl-PL) Presto/2.9.188 Version/11.00,557197562566282,166.59.138.137,54,86,68,98,88,80,82,82
20,False,Luana,Cardoso,luana.cardoso@yahoo.com,,5541994918456,,,,,,1962-12-24,Starzplay,False,False,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/5.0),554199491845699,96.86.127.93,42,84,82,40,79,58,53,43
21,False,Guilherme,Campos,campos@globo.com,,,Rua Nove (Lot E Uruguai),Vale Quem Tem,Teresina,PI,64057640,1972-10-11,Cartola PRO,False,False,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.2; Trident/4.1),558493735919162,86.32.184.238,54,76,93,91,87,52,52,90
22,False,Camila,Monteiro,camila.monteiro@barbosa.com,19870635466,,Rua Antônio Eclê,Sabiaguaba,Fortaleza,CE,60835315,1998-01-15,Globoplay e discovery +,False,False,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/19.0.871.0 Safari/532.0",551197770677794,221.169.116.211,70,78,86,45,53,81,72,68
23,True,Laura,Castro,4898494castro@peixoto.org,95386420747,5511988601641,SQS 406 Bloco K,Asa Sul,Brasília,DF,70255110,1975-11-24,Globoplay,False,False,Opera/9.56.(Windows NT 6.0; fa-IR) Presto/2.9.185 Version/10.00,551198860164172,52.242.163.1,45,13,21,36,43,1,10,19
24,True,Isis,Araújo,4793926globoplaycanaisaovivo.arajo@gmail.com,93542716855,,Quadra 18 Conjunto I,Sobradinho,Brasília,DF,73050189,1997-10-20,Globoplay + canais ao vivo,False,False,Opera/9.27.(X11; Linux x86_64; si-LK) Presto/2.9.182 Version/10.00,553193793323696,142.21.175.140,47,19,53,0,23,49,42,12
25,False,Kamilly,Nunes,kamilly.nunes@gmail.com,,5541905357345,,,,,,1961-09-02,Disney +,False,False,"Mozilla/5.0 (Linux; Android 3.2.5) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/29.0.868.0 Safari/532.2",554190535734528,131.236.183.135,61,84,40,92,51,42,62,61
26,False,Yago,da Cunha,yago.dacunha@bol.com,16945372006,,,,,,,1961-11-08,Globoplay e discovery +,False,True,Opera/9.30.(Windows NT 5.0; iw-IL) Presto/2.9.174 Version/10.00,552195323028241,152.24.221.110,51,97,91,86,43,44,73,47
27,False,Nina,Nunes,nunes@yahoo.com,98450372674,,Rua Minas Gerais - de 699/700 a 2000/2001,S-26,Vilhena,RO,76986607,1961-05-29,Globoplay e Starzplay,False,False,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_10_2) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/22.0.842.0 Safari/533.2",557190484870890,131.70.20.207,56,93,57,51,57,87,50,88
28,False,Nathan,Gonçalves,nathan.gonalves@bol.com,07458192658,5571920290725,,,,,,1996-01-13,,False,False,"Mozilla/5.0 (iPhone; CPU iPhone OS 3_1_3 like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) FxiOS/14.8g8855.0 Mobile/44I064 Safari/534.1",557192029072503,174.178.1.107,61,81,44,68,65,57,86,87
29,False,Ian,da Mota,damota@bol.com,37186905277,,Rua Doutor Almir Barbosa Cunha,Maria Farinha,Paulista,PE,53427110,2001-06-27,Globo Mais,False,False,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.1; Trident/3.1),554199342619731,150.203.96.115,79,54,54,61,90,44,85,78
