id,nome,sobrenome,email,cpf,telefone,rua,bairro,cidade,estado,cep,data_de_nascimento,produto,restringido,bloqueado,user_agent,device,imei,ip,busca_email_nome,busca_email_sobrenome,busca_email_ip,busca_email_telefone,busca_email_endereco,busca_ip_telefone,busca_ip_nome,busca_telefone_nome,contas_por_email,contas_por_cpf,contas_por_imei,contas_por_ip,fraude
7991,Davi Luiz,Nunes,nunes@gmail.com,73580962400,5511966273531,,,,,,2009-07-25,,false,false,Mozilla/5.0 (Windows 98; li-NL; rv:1.9.1.20) Gecko/7662-10-13 05:32:08 Firefox/3.6.17,desktop,,16.94.12.237,143,73,103,157,58,33,140,39,14,1,,1,true
9527,Luiz Henrique,Nunes,nunes@gmail.com,83029674169,,Rua Águas Mornas,Potengi,Natal,RN,59112460,1981-03-11,,false,false,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) CriOS/21.0.860.0 Mobile/30U520 Safari/536.2",mobile,558192509490232,27.191.240.104,69,134,72,170,104,43,192,33,14,1,1,1,true
5394,Agatha,Nunes,nunes@gmail.com,,5541922938554,Rua W 10,Jardim Itaipu,Goiânia,GO,74355524,1974-12-21,,false,false,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_7; rv:1.9.6.20) Gecko/5392-02-10 00:31:07 Firefox/3.6.2,mobile,552192833409938,164.175.180.124,8,17,0,3,2,17,2,10,14,,1,1,true
1237,Milena,Nunes,nunes@gmail.com,68015927420,,Rua Paranapanema,Jardim Paraíba,Jacareí,SP,12327659,1993-01-25,,false,false,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; mhr-RU) AppleWebKit/532.13.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B116 Safari/6532.13.3",mobile,551193035514849,215.219.150.78,163,73,111,37,81,102,30,69,14,1,1,1,true
3062,Luiz Gustavo,Nunes,nunes@gmail.com,75483629000,,EQ 17/21,Setor Oeste (Gama),Brasília,DF,72420176,2011-12-14,Combate,false,false,"Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/535.47.7 (KHTML, like Gecko) Version/5.0.5 Safari/535.47.7",desktop,,98.197.115.204,18,19,8,14,19,4,15,3,14,1,,1,true
5672,Julia,Nunes,nunes@gmail.com,29158407685,5561992088705,Rua Firmino Amâncio de Souza,Lagoa Seca,Juazeiro do Norte,CE,63040560,2006-01-29,Disney +,false,false,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; ss-ZA) AppleWebKit/532.28.4 (KHTML, like Gecko) Version/3.0.5 Mobile/8B112 Safari/6532.28.4",mobile,556199208870509,167.115.205.30,100,85,173,105,34,148,166,135,14,1,1,1,true
1705,Davi Lucca,Nunes,nunes@gmail.com,7156489267,5584970166035,Rua João Costa,Conjunto Habitacional Baiano da Bomba,Jaú,SP,17220289,1990-09-25,Starzplay,false,false,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 4.0; Trident/3.1),desktop,,199.159.231.79,74,112,188,95,179,59,91,130,14,1,,1,true
5926,Camila,Nunes,nunes@gmail.com,,,Rua Geraldo Moreira,Loteamento Panorama Tropical,Amparo,SP,13905484,1968-05-16,Giga Gloob,false,false,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/534.40.1 (KHTML, like Gecko) Version/5.0.5 Safari/534.40.1",desktop,,190.0.174.199,18,2,16,16,9,2,15,11,14,,,1,true
7725,Benjamin,Nunes,nunes@gmail.com,97143056243,,Rua Tristão Teixeira,Jardim Monte Alegre (Zona Norte),São Paulo,SP,2811010,2000-01-27,Giga Gloob,false,true,Mozilla/5.0 (Android 2.3.2; Mobile; rv:38.0) Gecko/38.0 Firefox/38.0,mobile,551195275382118,212.69.132.71,137,105,86,157,142,79,128,111,14,1,1,1,true
2120,Luana,Nunes,nunes@gmail.com,48352196782,5584957910526,Rua Tupinancy,Jordão,Recife,PE,51250040,2004-06-27,discovery +,false,false,"Mozilla/5.0 (Windows; U; Windows NT 10.0) AppleWebKit/532.19.4 (KHTML, like Gecko) Version/4.0 Safari/532.19.4",desktop,,205.190.47.18,74,46,78,112,118,148,77,145,14,1,,1,true
53,Vitor,Nunes,nunes@gmail.com,29035478665,5584913268521,Rua Edgar Ferreira da Costa,Pavuna,Pacatuba,CE,61809235,1983-12-20,Deezer Premium,false,false,Opera/8.74.(Windows NT 6.0; ko-KR) Presto/2.9.176 Version/11.00,desktop,,217.175.200.137,147,56,70,181,173,195,137,140,14,1,,1,true
1731,Amanda,Nunes,nunes@gmail.com,,,,,Laranjais (Itaocara),RJ  - Distrito,28580000,1979-05-14,Deezer Premium,false,false,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; ps-AF) AppleWebKit/531.34.2 (KHTML, like Gecko) Version/3.0.5 Mobile/8B113 Safari/6531.34.2",mobile,553194015593256,155.0.19.52,192,44,127,164,96,192,96,91,14,,1,1,false
4618,Lorena,Nunes,nunes@gmail.com,64813790593,5531957954063,Rua Dona Ambrosina,Vila Bueno,Varginha,MG,37006530,1974-03-11,Globoplay e Starzplay,false,false,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; es-PE) AppleWebKit/531.5.2 (KHTML, like Gecko) Version/3.0.5 Mobile/8B114 Safari/6531.5.2",mobile,553195795406304,34.206.5.146,146,92,144,181,115,57,31,131,14,1,1,1,true
404,Amanda,Nunes,nunes@gmail.com,,,Rua Gerson Cândido dos Santos,Conjunto Cristina (São Benedito),Santa Luzia,MG,33145050,1983-02-20,Globoplay e discovery +,false,false,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) CriOS/54.0.823.0 Mobile/46J961 Safari/533.0",mobile,556199584489478,204.134.236.178,88,122,60,80,108,126,193,66,14,,1,1,false
